param,species,estimate,conf_lower,conf_upper,trait
topt,Bemisia tabaci,29.751,29.3387200999738,30.661,juvenile development rate
topt,Tetraneura nigriabdominalis,30.648,30.5055733675455,30.7514334596962,juvenile development rate
topt,Stethorus punctillum,32.875,32.7700488866013,33.0157996136489,juvenile development rate
topt,Tetranychus mcdanieli,35.182,34.9349412441925,35.7928791179434,juvenile development rate
topt,Muscidifurax zaraptor,32.038,31.8297633824129,32.4575290301404,juvenile development rate
topt,Aphis nasturtii,30.874,29.7337424798604,31.6995127840122,juvenile development rate
topt,Rhopalosiphum maidis,27.926,27.334,28.6832155854039,juvenile development rate
topt,Aedes aegypti,34.697,33.9319098157036,35.3189736630522,juvenile development rate
topt,Anoplophora glabripennis,28.885,27.8716381305171,31.3845890301491,juvenile development rate
topt,Anthonomus grandis,33.427,31.9401694834027,34.4484117084242,juvenile development rate
topt,Helicoverpa armigera,36.164,35.1708138990876,36.7314323699827,juvenile development rate
topt,Paracoccus marginatus,28.381,27.7630507156801,28.9568319993434,juvenile development rate
topt,Halyomorpha halys,34.31,31.899,34.9404962711723,juvenile development rate
topt,Thrips hawaiiensis,31.315,30.658970501058,32.5910581203451,juvenile development rate
topt,Acyrthosiphon pisum,27.825,27.003,28.9277014700272,juvenile development rate
topt,Aphis gossypii,29.643,28.9989876571653,30.4763954696682,juvenile development rate
topt,Thrips hawaiiensis,21.612,21.0827545296279,22.1450608301235,juvenile mortality rate
topt,Bemisia tabaci,18.811,16.8756613316671,21.3141397424706,juvenile mortality rate
topt,Tetraneura nigriabdominalis,33.051,25.8566254045705,33.3171802909437,juvenile mortality rate
topt,Stethorus punctillum,16.481,14.8518259584625,18.0056595453201,juvenile mortality rate
topt,Muscidifurax zaraptor,26.397,25.5180925308083,27.2316195822655,juvenile mortality rate
topt,Aphis nasturtii,14.461,12.5947610966851,18.7094958870833,juvenile mortality rate
topt,Rhopalosiphum maidis,23.906,22.6542695880077,28.130164277176,juvenile mortality rate
topt,Aedes aegypti,14.802,12.0465132207162,16.2345891793419,juvenile mortality rate
topt,Anoplophora glabripennis,21.507,20.4083029826642,22.459155129709,juvenile mortality rate
topt,Anthonomus grandis,16.633,16.1510992299299,17.2745768952092,juvenile mortality rate
topt,Helicoverpa armigera,19.788,15.9239031865446,21.9272377052709,juvenile mortality rate
topt,Paracoccus marginatus,15.973,15.7680539176015,17.7659241723404,juvenile mortality rate
topt,Halyomorpha halys,29.209,29.2042870160471,29.253,juvenile mortality rate
topt,Acyrthosiphon pisum,11.344,11.311,11.311,juvenile mortality rate
topt,Aphis gossypii,19.623,18.020092251556,21.4153830439819,juvenile mortality rate
topt,Tetranychus mcdanieli,17.52737398,14.7475296408348,22.1397594258392,juvenile mortality rate
topt,Paracoccus marginatus,15.827,15.5918527840033,18.024,adult mortality rate
topt,Acyrthosiphon pisum,8.256,5.70659206140573,9.03637970823701,adult mortality rate
topt,Aphis gossypii,11.278,11.0959685089487,11.5749921950612,adult mortality rate
topt,Tetranychus mcdanieli,15.794,14.7946868652804,17.03,adult mortality rate
topt,Bemisia tabaci,21.213,20.1148129447148,22.6150372629359,adult mortality rate
topt,Tetraneura nigriabdominalis,11.13,11.1612182414803,11.5652887525058,adult mortality rate
topt,Stethorus punctillum,15.723,13.8927633972638,17.3251882718718,adult mortality rate
topt,Muscidifurax zaraptor,16.184,15.9792638081831,19.9439622786858,adult mortality rate
topt,Aphis nasturtii,16.351,15.6377319200486,16.9367496117417,adult mortality rate
topt,Rhopalosiphum maidis,15.557,14.5492091988889,16.5709185711738,adult mortality rate
topt,Anoplophora glabripennis,12.132,9.05301788362201,13.7723986811064,adult mortality rate
topt,Helicoverpa armigera,26.131,17.5,27.7177034531915,adult mortality rate
topt,Thrips hawaiiensis,15.314,13.0496711489381,16.0173554758942,adult mortality rate
topt,Aedes aegypti,26.572,21.6196441314193,28.3172099771892,adult mortality rate
topt,Halyomorpha halys,18.451,16.2746576088326,19.5321012400216,adult mortality rate
topt,Anthonomus grandis,12.797,12.772,12.7959312303001,adult mortality rate
topt,Bemisia tabaci,34.721,34.3901730250044,35.8939038833649,fecundity rate
topt,Tetraneura nigriabdominalis,28.832,27.934,29.0980618828957,fecundity rate
topt,Stethorus punctillum,30.131,28.229669753969,30.914,fecundity rate
topt,Tetranychus mcdanieli,29.271,27.4418477931524,30.9975669591103,fecundity rate
topt,Muscidifurax zaraptor,28.515,26.8253435814157,31.5513474927232,fecundity rate
topt,Aphis nasturtii,26.134,23.7209282782915,28.6710659129113,fecundity rate
topt,Rhopalosiphum maidis,28.456,27.313,28.9394634339718,fecundity rate
topt,Aedes aegypti,32.365,32.0058905667717,32.9999447142521,fecundity rate
topt,Anoplophora glabripennis,27.929,25.746,28.788112181904,fecundity rate
topt,Anthonomus grandis,28.004,26.7296654441192,28.9420634959152,fecundity rate
topt,Helicoverpa armigera,26.386,25.0252248107775,27.5085555577946,fecundity rate
topt,Paracoccus marginatus,24.563,23.4093945463583,28.238207329231,fecundity rate
topt,Halyomorpha halys,27.185,25.1655076578396,29.409841087922,fecundity rate
topt,Thrips hawaiiensis,22.922,21.7322763591123,24.179285193642,fecundity rate
topt,Acyrthosiphon pisum,23.17,22.508739513943,24.101539544069,fecundity rate
topt,Aphis gossypii,26.891,24.5243697476444,29.0672567862816,fecundity rate
