originaltraitname,originaltraitunit,originaltraitvalue,interactor1,ambienttemp,ambienttempunit,interactor2,stressor,stage
fecundity,number of progeny,0.202247191,To. sp. nr. lutea,10,celsius,NA,low altitude,adult
fecundity,number of progeny,0.202247191,T. sp. nr. mwanzai,10,celsius,NA,low altitude,adult
fecundity,number of progeny,0.146067416,To. sp. nr. lutea,10,celsius,NA,high altitude,adult
fecundity,number of progeny,0.202247191,T. bruni,10,celsius,NA,high altitude,adult
fecundity,number of progeny,0.202247191,T. sp. nr. mwanzai,10,celsius,NA,medium altitude,adult
fecundity,number of progeny,0.202247191,To. sp. nr. lutea,10,celsius,NA,medium altitude,adult
fecundity,number of progeny,1.04494382,To. sp. nr. lutea,15,celsius,NA,low altitude,adult
fecundity,number of progeny,1.550561798,T. sp. nr. mwanzai,15,celsius,NA,low altitude,adult
fecundity,number of progeny,0.93258427,To. sp. nr. lutea,15,celsius,NA,high altitude,adult
fecundity,number of progeny,1.494382022,T. bruni,15,celsius,NA,high altitude,adult
fecundity,number of progeny,2.168539326,T. sp. nr. mwanzai,15,celsius,NA,medium altitude,adult
fecundity,number of progeny,2.337078652,To. sp. nr. lutea,15,celsius,NA,medium altitude,adult
fecundity,number of progeny,3.348314607,To. sp. nr. lutea,20,celsius,NA,low altitude,adult
fecundity,number of progeny,3.797752809,T. sp. nr. mwanzai,20,celsius,NA,low altitude,adult
fecundity,number of progeny,3.123595506,To. sp. nr. lutea,20,celsius,NA,high altitude,adult
fecundity,number of progeny,3.011235955,T. bruni,20,celsius,NA,high altitude,adult
fecundity,number of progeny,3.348314607,T. sp. nr. mwanzai,20,celsius,NA,medium altitude,adult
fecundity,number of progeny,3.797752809,To. sp. nr. lutea,20,celsius,NA,medium altitude,adult
fecundity,number of progeny,6.775280899,To. sp. nr. lutea,25,celsius,NA,low altitude,adult
fecundity,number of progeny,5.370786517,T. sp. nr. mwanzai,25,celsius,NA,low altitude,adult
fecundity,number of progeny,5.202247191,To. sp. nr. lutea,25,celsius,NA,high altitude,adult
fecundity,number of progeny,2.561797753,T. bruni,25,celsius,NA,high altitude,adult
fecundity,number of progeny,5.707865169,T. sp. nr. mwanzai,25,celsius,NA,medium altitude,adult
fecundity,number of progeny,6.269662921,To. sp. nr. lutea,25,celsius,NA,medium altitude,adult
fecundity,number of progeny,8.460674157,To. sp. nr. lutea,30,celsius,NA,low altitude,adult
fecundity,number of progeny,5.146067416,T. sp. nr. mwanzai,30,celsius,NA,low altitude,adult
fecundity,number of progeny,5.651685393,To. sp. nr. lutea,30,celsius,NA,high altitude,adult
fecundity,number of progeny,5.258426966,T. bruni,30,celsius,NA,high altitude,adult
fecundity,number of progeny,11.43820225,T. sp. nr. mwanzai,30,celsius,NA,medium altitude,adult
fecundity,number of progeny,7.842696629,To. sp. nr. lutea,30,celsius,NA,medium altitude,adult
fecundity,number of progeny,4.415730337,To. sp. nr. lutea,35,celsius,NA,low altitude,adult
fecundity,number of progeny,5.08988764,T. sp. nr. mwanzai,35,celsius,NA,low altitude,adult
fecundity,number of progeny,1.101123596,To. sp. nr. lutea,35,celsius,NA,high altitude,adult
fecundity,number of progeny,0.033707865,T. bruni,35,celsius,NA,high altitude,adult
fecundity,number of progeny,7.505617978,T. sp. nr. mwanzai,35,celsius,NA,medium altitude,adult
fecundity,number of progeny,4.078651685,To. sp. nr. lutea,35,celsius,NA,medium altitude,adult
