Eggs,,Larvae,,Pupae,,Total,
X,Y,X,Y,X,Y,X,Y
12.27415553809898,0.052631578947368585,12.627737226277372,0.0003389830508474523,14.999999999999996,0.00039999999999995595,12.39130434782609,5.551115123125783e-17
14.976433621366848,0.07368421052631591,14.817518248175183,0.01457627118644067,17.391304347826086,0.04239999999999999,15.000000000000004,5.551115123125783e-17
17.498036135113903,0.15263157894736867,17.445255474452555,0.036949152542372854,19.78260869565217,0.04719999999999991,17.202625102543067,0.017358490566037776
19.992144540455616,0.19473684210526332,20.07299270072993,0.04203389830508475,24.999999999999996,0.08079999999999998,19.782608695652172,0.020000000000000018
20.02749410840534,0.24210526315789482,25.109489051094894,0.06440677966101693,27.391304347826082,0.08799999999999997,24.65135356849877,0.0320754716981132
25.22388059701493,0.3052631578947369,27.51824817518248,0.0725423728813559,30.000000000000004,0.11080000000000001,26.997538966365873,0.036226415094339603
27.77297721916732,0.4210526315789474,29.927007299270077,0.07966101694915251,32.39130434782608,0.11680000000000001,29.54470877768663,0.04188679245283017
30.278868813825607,0.4789473684210527,32.55474452554745,0.09796610169491526,35,0.11680000000000001,31.87038556193602,0.04792452830188679
32.757266300078555,0.5,34.96350364963503,0.09694915254237291,37.60869565217391,0.11920000000000003,34.48318293683347,0.04754716981132073
35.21602513747054,0.4947368421052632,37.591240875912405,0.06949152542372883,,,37.173913043478265,0.040000000000000036
37.89080911233307,0.4789473684210527,,,,,39.99589827727645,0.00037735849056613757
40,0.0052631578947370805,,,,,,
